Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1198;858;622;2.0;1230;0.0113;0.0108;0.0036;0.0094;0.0019;0.0002;0.0001;0.0315;0.0269;0.0003;0.0015;0.0008;0.0024;0.0003;0.0003;0.0001;0.0666;0.0528;0.0001;0.001;0.003;0.0;181;294;44.0
1201;849;582;3.0;1000;0.0081;0.0107;0.0059;0.0133;0.0013;0.0002;0.0012;0.0343;0.0299;0.0023;0.0001;0.0017;0.0025;0.001;0.0008;0.0001;0.09;0.06;0.0005;0.004;0.0;0.0;421;495;35.0
1185;882;588;2.75;960;0.0116;0.0082;0.0048;0.0095;0.0019;0.0001;0.0001;0.0296;0.0245;0.0003;0.0001;0.0005;0.0024;0.0005;0.0004;0.0001;0.1122;0.0778;0.0001;0.002;0.0;0.0;250;356;50.0
1177;859;617;2.0;925;0.0098;0.0123;0.0094;0.0181;0.0021;0.0001;0.0001;0.0357;0.0331;0.0001;0.0015;0.0012;0.0028;0.0003;0.0003;0.0008;0.08;0.06;0.0001;0.002;0.002;0.0;245;342;46.5
1221;841;598;2.0;832;0.0025;0.0166;0.0071;0.0162;0.0019;0.0006;0.0246;0.0435;0.0417;0.0268;0.0;0.0029;0.0032;0.0017;0.0006;0.0064;0.27;0.13;0.0001;0.005;0.0;0.0;504;558;25.0
1218;848;540;2.0;1283;0.0033;0.0136;0.0059;0.0154;0.0046;0.0006;0.0256;0.0249;0.0229;0.0253;0.0001;0.001;0.0028;0.0015;0.0004;0.0001;0.2718;0.135;0.0008;0.003;0.0;0.0;498;564;30.5
1187;846;583;4.0;1250;0.0095;0.0107;0.0049;0.0092;0.0018;0.0003;0.0001;0.0324;0.0281;0.0006;0.0001;0.0023;0.0027;0.0013;0.0006;0.0014;0.211;0.1632;0.0008;0.003;0.0;0.0;350;434;34.0
1226;838;521;4.0;1370;0.0023;0.0156;0.0053;0.0143;0.0001;0.0011;0.0149;0.0321;0.0299;0.0712;0.0001;0.0012;0.0027;0.0048;0.0016;0.0001;0.2447;0.1209;0.0002;0.005;0.0;0.0;620;674;17.0
1140;868;650;2.75;1020;0.0032;0.0097;0.0039;0.0128;0.0016;0.0001;0.001;0.2361;0.2361;0.0003;0.0001;0.0022;0.0028;0.001;0.0006;0.0008;0.05;0.05;0.0001;0.001;0.001;0.0;318;427;38.0
1210;857;593;10.0;1140;0.0024;0.0133;0.0122;0.8983;0.0004;0.0015;0.0028;0.0212;0.0188;0.0029;0.0003;0.0039;0.003;0.0046;0.0022;0.0001;0.61;0.32;0.0004;0.002;0.002;0.0;521;679;23.0
1191;842;550;4.0;1175;0.0029;0.0103;0.0049;0.013;0.001;0.0002;0.0182;0.0285;0.027;0.0248;0.0001;0.0018;0.0024;0.0018;0.0006;0.0012;0.2833;0.1822;0.0005;0.007;0.0;0.0;447;533;29.5
1218;842;523;1.6;900;0.0009;0.0091;0.0059;0.0157;0.0018;0.0017;0.0297;0.0343;0.0294;0.0143;0.0002;0.0036;0.0027;0.0;0.0002;0.0001;0.2;0.11;0.0021;0.003;0.0;0.0;481;513;25.0
1230;857;592;2.0;1250;0.0032;0.0118;0.0049;0.0106;0.0005;0.0003;0.0154;0.0339;0.0312;0.001;0.0001;0.0009;0.0026;0.004;0.0007;0.0001;0.2053;0.1067;0.0004;0.003;0.0;0.0;413;478;36.0
1185;851;581;2.3;1045;0.0126;0.0158;0.0059;0.0139;0.0013;0.0005;0.0001;0.0358;0.0343;0.0234;0.0015;0.0004;0.0027;0.0014;0.0006;0.0001;0.1974;0.1646;0.0007;0.004;0.0;0.0;402;461;33.5
1226;914;642;3.5;1224;0.0084;0.0114;0.0045;0.0157;0.0022;0.001;0.0005;0.0269;0.0233;0.0441;0.0001;0.0011;0.0025;0.001;0.0007;0.0008;0.0225;0.0098;0.0007;0.002;0.002;0.0;168;268;58.0
1187;816;525;12.7;1090;0.0042;0.0099;0.0047;0.0109;0.0001;0.001;0.0021;0.0252;0.0246;0.0281;0.0001;0.0019;0.0025;0.0046;0.0009;0.0001;0.2937;0.1895;0.0002;0.005;0.0;0.0;419;532;24.5
1183;846;595;2.5;810;0.0158;0.0232;0.0089;0.0114;0.0001;0.0001;0.0001;0.0296;0.0264;0.0001;0.0;0.0003;0.0024;0.0001;0.0001;0.0001;0.11;0.08;0.0007;0.003;0.0;0.0;315;392;44.5
